ID,Age,Income,Score,Purchases
126,32,45232.3,61.81,7
127,32,54766.51,35.82,6
128,43,25816.59,11.36,5
129,59,64180.73,67.16,6
130,30,68996.1,52.03,5
131,49,55659.44,77.23,4
132,56,74770.26,52.02,7
133,49,30097.52,85.22,1
134,21,77655.74,55.19,8
135,47,39038.88,56.09,4
136,54,30801.2,87.67,5
137,40,46439.12,40.35,3
138,56,78080.09,13.4,7
139,32,49708.37,2.88,2
140,46,36011.13,75.51,5
141,53,30575.86,62.03,10
142,30,48423.22,70.41,7
143,49,20075.58,21.3,7
144,24,30497.11,13.64,10
145,39,73146.01,1.45,1
146,45,69848.96,35.06,5
147,19,48073.82,58.99,3
148,59,43015.03,39.22,8
149,23,50877.63,43.75,7
150,45,85219.95,90.42,3
151,45,56074.63,34.83,1000
152,37,63646.07,51.4,5
153,47,46963.14,78.37,3
154,28,50913.45,39.65,6
155,45,59707.44,62.21,3
156,42,51891.42,86.24,4
157,56,21539.35,94.95,5
158,50,69208.11,14.71,8
159,18,40772.99,92.66,7
160,44,81669.76,49.21,5
161,30,60302.73,25.82,4
162,58,51064.59,45.91,6
163,20,56589.91,98.0,8
164,56,48372.53,49.26,4
165,23,42703.51,32.88,3
166,25,53113.97,63.34,2
167,44,63274.86,24.01,3
168,26,43032.05,7.59,9
169,54,40666.44,12.89,5
170,50,44667.67,12.8,4
171,59,64280.17,15.19,7
172,41,71788.25,13.88,8
173,32,55430.21,64.09,4
174,49,58719.71,18.19,4
175,49,40554.49,34.57,8
176,41,63151.32,89.68,5
177,58,58276.06,47.4,5
178,29,39348.08,66.76,6
179,56,23184.93,17.23,7
180,19,31691.45,19.23,2
181,20,39961.96,4.09,1
182,54,67429.06,16.89,7
183,34,73292.9,27.86,5
184,19,43407.23,17.7,4
185,19,43881.27,8.87,4
186,45,53924.35,12.06,3
187,40,50182.2,46.08,8
188,54,63964.01,20.63,7
189,49,42152.18,36.43,1
190,50,64237.14,50.34,2
191,18,46411.63,69.04,4
192,36,62809.62,3.93,6
193,19,45934.39,79.94,4
194,43,40803.58,62.79,6
195,49,78684.76,8.18,8
196,23,65978.41,87.36,7
197,49,23119.32,92.09,5
198,21,43298.4,6.11,2
199,28,68073.84,27.69,1
200,34,32050.09,80.62,7
